GARCIA
CARRION
VALLADARES
ESTEVEZ
MONTENEGRO
NINO
PICHARDO
NELSON
TELLO
HERNANDES
LEBRON
BELLO
PAEZ
OLGUIN
TIJERINA
MANZO
MARTINES
TORO
CALVILLO
IGLESIAS
ECHEVARRIA
TRINIDAD
HILL
RIVERO
CEDILLO
LAZO
WRIGHT
GRIEGO
HALL
LUCIO
VALERIO
MACIEL
BALTAZAR
PANIAGUA
SANCHES
DELUNA
DELRIO
MATEO
VIERA
OLMOS
INFANTE
MIRAMONTES
PARTIDA
OLIVO
MAESTAS
ROJO
BARBA
MAYORGA
RODARTE
CONCEPCION
TAVAREZ
INIGUEZ
MERINO
PALOMINO
BADILLO
PARDO
ALDANA
ARMIJO
GAONA
LEDEZMA
TAVERAS
DEANDA
CEDENO
MOSQUEDA
SANTAMARIA
VALDOVINOS
CHAVIRA
MAYA
JURADO
CAMPBELL
AVINA
PEREIRA
BAHENA
LOZA
SARMIENTO
BAKER
BALLESTEROS
GRACIA
TINOCO
MARISCAL
PERDOMO
MENDIOLA
MITCHELL
RUEDA
MENCHACA
SANABRIA
BAEZA
MONTELONGO
ALFONSO
CANDELARIA
COTA
MORIN
TAMEZ
ARGUELLO
RODAS
CARDOZA
BARRETO
ECHEVERRIA
VALVERDE
COLLADO
ARANA
NOLASCO
ROBERTS
CARVAJAL
PAULINO
MADERA
MERAZ
CAMARGO
PINTO
ISLAS
MAGALLANES
PLASCENCIA
VILLALPANDO
BARELA
QUESADA
ALCANTARA
SANTOYO
JORDAN
ANGELES
LOVATO
RAMIRES
FRAUSTO
SARABIA
LOZADA
ZAYAS
PHILLIPS
FRANCISCO
JAQUEZ
LIMA
CARTER
PALACIO
CARTAGENA
MANRIQUEZ
SAMANIEGO
PELAYO
MONTEMAYOR
VILLATORO
JARA
SANTACRUZ
MONCADA
CASAREZ
ABARCA
GRIJALVA
MORRIS
MAGDALENO
URIAS
PUENTES
PINO
CONDE
MATIAS
ALMARAZ
VACA
EVANS
CASANOVA
GAITAN
TERAN
ORTA
ROGERS
ZAMARRIPA
OSUNA
EDWARDS
RESTREPO
OVIEDO
QUILES
MORGAN
MARTE
COLLINS
CASTELLON
ROYBAL
OVALLE
BORREGO
VELARDE
CASTANON
DELTORO
PALOMO
QUEVEDO
HARO
GALICIA
FAVELA
BAZAN
STEWART
LEIVA
PARADA
LOREDO
BARAHONA
ORDAZ
CARRASQUILLO
POSADA
CALDERA
MANZANO
BOCANEGRA
ABREGO
MANCILLA
ARAIZA
VERDUGO
AMEZCUA
TALAVERA
RAYA
FERREIRA
ALEJANDRO
GALAN
GURROLA
IBANEZ
MELGAR
BUENROSTRO
ARRIOLA
SERVIN
PABON
OLIVERA
ASCENCIO
OZUNA
PUGA
JAMES
PIZARRO
PARKER
OROPEZA
MURO
MONGE
TURNER
DAVALOS
VELIZ
TENORIO
DESANTIAGO
SEVILLA
BEJARANO
VERDUZCO
COTTO
MURPHY
MENJIVAR
ARANGO
MANZANARES
PINON
MELCHOR
DELAFUENTE
DUQUE
PINEDO
LEIJA
LUCAS
NUNO
GASTELUM
MICHEL
CARRIZALES
GALAVIZ
ABEYTA
KELLY
VANEGAS
URRUTIA
LAGUNAS
LIZARRAGA
AVELAR
PALOMARES
ESCALERA
ORONA
HERMOSILLO
HUIZAR
RASCON
ANDINO
GIRALDO
RICHARDSON
NAZARIO
LUEVANO
SALVADOR
DIMAS
GARRIDO
MEDELLIN
RIOJAS
PETERSON
AGUERO
TOBAR
ALEXANDER
CLAUDIO
DELAO
YEPEZ
CHAIREZ
LEOS
MACHUCA
SALMERON
ALMAGUER
LORA
VICENTE
COOK
BARBOZA
BUSTILLOS
TOSCANO
GARCES
WARD
CORONEL
COOPER
MENESES
ESQUEDA
QUIROGA
LUIS
LUCIANO
ALVARENGA
ARREGUIN
CHAPARRO
BELL
ARVIZU
CARRENO
VIRAMONTES
RIZO
ANTONIO
SENA
CABAN
ARAMBULA
MORALEZ
GARDUNO
PAYAN
GASPAR
OBREGON
TARANGO
ROSS
BALDERRAMA
ROLON
GONSALEZ
PENALOZA
GUDINO
LANDA
RUBALCAVA
ESQUIBEL
CARPIO
WOOD
BEDOLLA
HOWARD
REY
BENNETT
ALEGRIA
BOJORQUEZ
TURCIOS
OCEGUERA
CASTELLANO
ALMEIDA
LOPES
DIAS
IZQUIERDO
BROOKS
BARCENAS
ALBARRAN
ALVA
AGOSTO
SANDERS
OQUENDO
REED
REZA
MACEDO
CARDOSO
MANDUJANO
COX
BAILEY
SANMIGUEL
CHAVES
WATSON
RECINOS
MONREAL
GARNICA
LABOY
CASTREJON
PERRY
DELAPAZ
CERVANTEZ
MIGUEL
GRANADO
FOSTER
IZAGUIRRE
CHARLES
MELGOZA
MONTESDEOCA
MALAVE
PERES
FABIAN
OLIVER
GRAY
DORADO
PERAZA
DURON
CERNA
GRIMALDO
GURULE
CARO
CAMPA
BERUMEN
LECHUGA
CASTANO
CALVO
HUGHES
LAZARO
MARMOLEJO
TALAMANTES
SORTO
GALLO
ENCARNACION
BURCIAGA
ZENDEJAS
UMANA
MOREIRA
ROA
OLMEDO
CATALAN
ELIZALDE
MAGALLON
GOMES
SAIZ
SARAVIA
COLIN
SISNEROS
SULLIVAN
CIFUENTES
RUSSELL
GALLEGO
VELOZ
GOVEA
CHAIDEZ
TELLES
PELAEZ
SIMON
ALMAZAN
COSME
PIZANO
SUAZO
PALAFOX
BARRIGA
AHUMADA
ARMAS
CASIANO
FREGOSO
GUADARRAMA
AGUILA
GUADALUPE
HENDERSON
SOLER
BORGES
SIGALA
COBOS
ALVARES
