AR,178
AL,131
AN,118
ER,98
RE,92
RA,83
CA,78
RI,77
LA,76
LL,76
RR,72
EN,71
EL,71
MA,67
LE,63
OR,61
RO,60
VA,59
NT,58
ON,53
DE,53
UE,50
IL,48
IN,48
TE,47
BA,46
AD,45
GA,45
MO,44
SA,44
AM,42
GU,41
VE,39
ME,39
LO,39
CO,38
ED,38
OL,36
ND,36
VI,34
NE,34
LI,33
QU,33
TA,33
ZA,33
PA,32
NA,31
ES,30
AG,29
AV,29
CH,28
UI,28
AS,28
CE,27
OS,27
ST,27
CI,26
RD,25
EG,25
AC,25
SO,24
JA,24
IA,24
TI,23
UR,23
PE,23
DA,22
IR,21
RT,20
BE,20
GO,20
NO,19
DO,19
TO,19
MI,19
AZ,18
DI,18
IE,17
HA,17
IV,17
NC,17
LV,17
NI,16
LD,16
SC,16
HE,16
EV,16
PI,16
SE,16
AB,15
BR,15
RU,15
AY,15
OM,14
BO,14
UN,14
AT,14
IZ,13
EJ,13
TR,13
OZ,13
IO,13
NG,13
DR,13
IG,13
GR,13
LU,12
RN,11
IC,11
OV,11
OB,11
SI,11
ID,11
LC,10
RM,10
RC,10
LM,10
NZ,10
ET,10
UA,9
RG,9
MU,9
UL,9
IM,9
DU,9
PO,8
AU,8
OT,8
EC,8
HU,8
OD,8
OC,8
LG,8
BU,8
AI,8
IS,8
OJ,8
AP,8
OY,7
SP,7
SQ,7
EZ,7
HO,7
UC,7
AE,7
FA,7
EP,6
EI,6
NR,6
WA,6
NS,6
GE,6
JO,6
IT,6
BI,6
EA,6
RV,6
EO,6
AJ,6
RZ,5
OO,5
HI,5
MP,5
FO,5
EY,5
US,5
LT,5
FE,5
CU,5
PU,5
JI,5
SU,5
IB,5
JE,5
FR,5
UG,5
RB,5
YA,4
IQ,4
IJ,4
CR,4
UD,4
NU,4
OP,4
KE,4
GI,4
FU,4
MB,4
UJ,4
ZE,3
UT,3
TU,3
SS,3
AH,3
WI,3
AF,3
UM,3
OQ,3
BL,3
UB,3
EM,3
PR,3
YO,3
SM,3
ZQ,3
RS,3
ZU,3
ZC,3
PH,2
LS,2
IP,2
OU,2
RQ,2
FI,2
TH,2
ZO,2
JU,2
OG,2
NJ,2
YB,2
LF,2
EB,2
UZ,2
OW,2
GH,2
IF,2
ZM,2
YT,2
AQ,2
CL,2
EE,2
EW,2
YE,2
RP,2
SN,2
RL,2
FL,2
LB,2
YN,2
UV,1
KI,1
LK,1
OE,1
WH,1
GL,1
WR,1
KS,1
LR,1
NF,1
PC,1
AO,1
PB,1
CK,1
PS,1
AK,1
TC,1
SL,1
PL,1
LP,1
YL,1
AA,1
GD,1
YV,1
DW,1
RK,1
TT,1
HN,1
UQ,1
DS,1
EX,1
XA,1
WO,1
NN,1
OK,1
NM,1
TS,1
SD,1
OH,1
UP,1
